name,carrier,p_nom_min,p_nom_cur,p_nom_max,p_min_pu,p_max_pu,capital_cost,marginal_cost,ramp_limit,bus
CH1 5 fuel cell,H2,0,0,344.4,0,1,88632.1685007346,0.0,1,CH1 5
CH1 11 fuel cell,H2,0,0,2127.6,0,1,88632.1685007346,0.0,1,CH1 11
CH1 3 fuel cell,H2,0,0,2396.2,0,1,88632.1685007346,0.0,1,CH1 3
CH1 2 fuel cell,H2,0,0,1857.4,0,1,88632.1685007346,0.0,1,CH1 2
CH1 0 fuel cell,H2,0,0,754.4,0,1,88632.1685007346,0.0,1,CH1 0
CH1 6 fuel cell,H2,0,0,703.6,0,1,88632.1685007346,0.0,1,CH1 6
CH1 12 fuel cell,H2,0,0,770.2,0,1,88632.1685007346,0.0,1,CH1 12
CH1 9 fuel cell,H2,0,0,288.4,0,1,88632.1685007346,0.0,1,CH1 9
FR1 0 fuel cell,H2,0,0,237803.8,0,1,88632.1685007346,0.0,1,FR1 0
IT1 0 fuel cell,H2,0,0,177729.0,0,1,88632.1685007346,0.0,1,IT1 0
CH1 14 fuel cell,H2,0,0,1724.2,0,1,88632.1685007346,0.0,1,CH1 14
DE1 0 fuel cell,H2,0,0,273976.4,0,1,88632.1685007346,0.0,1,DE1 0
CH1 10 fuel cell,H2,0,0,59.4,0,1,88632.1685007346,0.0,1,CH1 10
CH1 1 fuel cell,H2,0,0,424.8,0,1,88632.1685007346,0.0,1,CH1 1
CH1 7 fuel cell,H2,0,0,2122.4,0,1,88632.1685007346,0.0,1,CH1 7
CH1 13 fuel cell,H2,0,0,1526.8,0,1,88632.1685007346,0.0,1,CH1 13
AT1 0 fuel cell,H2,0,0,20672.6,0,1,88632.1685007346,0.0,1,AT1 0
CH1 8 fuel cell,H2,0,0,345.4,0,1,88632.1685007346,0.0,1,CH1 8
CH1 4 fuel cell,H2,0,0,35.6,0,1,88632.1685007346,0.0,1,CH1 4
