technology,year,parameter,value,unit,source
onwind,2035,lifetime,30,years,DEA 2022
offwind,2035,lifetime,30,years,DEA 2022
solar_roof,2035,lifetime,40,years,DEA 2022
solar_facade,2035,lifetime,40,years,DEA 2022
ror,2035,lifetime,60,years,ETRI 2014
nuclear,2035,lifetime,60,years,ETRI 2014
gas,2035,lifetime,25,years,DEA 2022
coal,2035,lifetime,40,years,ETRI 2014
lignite,2035,lifetime,40,years,ETRI 2014
oil,2035,lifetime,25,years,DEA 2022
geothermal,2035,lifetime,30,years,ETRI 2014
biogas,2035,lifetime,20,years,ETRI 2014
woodybiomass,2035,lifetime,25,years,DEA 2022
waste,2035,lifetime,25,years,DEA 2022
hydro,2035,lifetime,60,years,ETRI 2014
PHS,2035,lifetime,60,years,ETRI 2014
battery,2035,lifetime,13,years,Schmidt 2019
H2,2035,lifetime,18,years,Schmidt 2019
onwind,2035,investment,1040,EUR/kWel,DEA 2022
offwind,2035,investment,1800,EUR/kWel,DEA 2022
solar_roof,2035,investment,840,EUR/kWel,DEA 2022
solar_facade,2035,investment,840,EUR/kWel,DEA 2022
ror,2035,investment,5620,EUR/kWel,ETRI 2014
nuclear,2035,investment,4100,EUR/kWel,ETRI 2014
gas,2035,investment,830,EUR/kWel,DEA 2022
coal,2035,investment,1600,EUR/kWel,ETRI 2014
lignite,2035,investment,2000,EUR/kWel,ETRI 2014
geothermal,2035,investment,9000,EUR/kWel,ETRI 2014
oil,2035,investment,340,EUR/kWel,DEA 2022
biogas,2035,investment,2760,EUR/kWel,ETRI 2014
woodybiomass,2035,investment,3360,EUR/kWel,DEA 2022
waste,2035,investment,8600,EUR/kWel,DEA 2022
hydro,2035,investment,3370,EUR/kWel,ETRI 2014
PHS,2035,investment,3370,EUR/kWel,ETRI 2014
hydro,2035,investment_p,921,EUR/kWel,Schmidt 2019
PHS,2035,investment_p,921,EUR/kWel,Schmidt 2019
battery,2035,investment_p,108,EUR/kWel,Schmidt 2019
H2,2035,investment_p,2111,EUR/kWel,Schmidt 2019
hydro,2035,investment_e,71,EUR/kWhel,Schmidt 2019
PHS,2035,investment_e,71,EUR/kWhel,Schmidt 2019
battery,2035,investment_e,128,EUR/kWhel,Schmidt 2019
H2,2035,investment_e,12,EUR/kWhel,Schmidt 2019
onwind,2035,FOM,1.2,% of CAPEX,DEA 2022
offwind,2035,FOM,2.2,% of CAPEX,DEA 2022
solar_roof,2035,FOM,1.3,% of CAPEX,DEA 2022
solar_facade,2035,FOM,1.3,% of CAPEX,DEA 2022
ror,2035,FOM,1.5,% of CAPEX,ETRI 2014
nuclear,2035,FOM,1.9,% of CAPEX,ETRI 2014
gas,2035,FOM,3.3,% of CAPEX,DEA 2022
coal,2035,FOM,2.5,% of CAPEX,ETRI 2014
lignite,2035,FOM,2.5,% of CAPEX,ETRI 2014
geothermal,2035,FOM,1.9,% of CAPEX,ETRI 2014
oil,2035,FOM,2.5,% of CAPEX,DEA 2022
biogas,2035,FOM,4.1,% of CAPEX,ETRI 2014
woodybiomass,2035,FOM,4.2,% of CAPEX,DEA 2022
waste,2035,FOM,2.8,% of CAPEX,DEA 2022
hydro,2035,FOM,0.7,% of CAPEX,Schmidt 2019
PHS,2035,FOM,0.7,% of CAPEX,Schmidt 2019
battery,2035,FOM,1.5,% of CAPEX,Schmidt 2019
H2,2035,FOM,0.8,% of CAPEX,Schmidt 2019
onwind,2035,VOM,1.4,EUR/MWhel,DEA 2022
