Name;hydrogen_economy;hydrogen_niche;midway;hydrogen_economy_import_case;midway_import_case;midway_import_case_lowest;Unit;Description;Source;;;;;
;;;;;;;;Industry;;;;;;
cressier_operation;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;True=1 False =0;Cressier operates (closes 2043);Kreidelmeyer et al., 2022;;;;;
;;;;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;;Trucks;;;;;;
fuel_stations_only;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;True=1 False =0;Stations only, for 2035 we assume only existing / planned H2 fuel stations provide H2, for 2050 all;Gupta et al. 2022, Baufumé et al. 2013, Reuß et al. 2019;;;;;
pen_share_trucks;1.0000000000000000000;0.2000000000000000000;0.3000000000000000000;1.00000000000000000000000000000000000000;0.30000000000000000000000000000000000000;0.30000000000000000000000000000000000000;share;Penetration share Trucks;Camacho et al. 2022, Lahnaoui et al.  2021, Nugroho et al. 2021 Welder et al. 2018, 2050+ Scenarios;;;;;
freight_increase_trucks;1.2700000000000000000;1.2700000000000000000;1.2700000000000000000;1.27000000000000000000000000000000000000;1.27000000000000000000000000000000000000;1.27000000000000000000000000000000000000;share;Freight market increase compared to 2022;"Mathys et al., 2016; SFOE, 2020b";;;;;
freight_efficiency_increase_trucks;0.8000000000000000000;0.8000000000000000000;0.8000000000000000000;0.80000000000000000000000000000000000000;0.80000000000000000000000000000000000000;0.80000000000000000000000000000000000000;share;Freight efficiency increase for FCEV compared to 2022 (20% more efficient-> 80% of demand);SFOE, 2020 Energieperspektiven 2050+ Technischer Bericht;;;;;
efficiency_diesel_trucks;0.3000000000000000000;0.3000000000000000000;0.3000000000000000000;0.30000000000000000000000000000000000000;0.30000000000000000000000000000000000000;0.30000000000000000000000000000000000000;share;Efficiency of conventional trucks;Cunanan et al. 2021, Peters et al. 2021, Victoria et al. 2023;;;;;
efficiency_hydrogen_trucks;0.5500000000000000000;0.4500000000000000000;0.5000000000000000000;0.55000000000000000000000000000000000000;0.50000000000000000000000000000000000000;0.50000000000000000000000000000000000000;share;Efficiency of hydrogen trucks;Cunanan et al. 2021, Peters et al. 2021, Victoria et al. 2023;;;;;
;;;;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;;Ships;;;;;;
